"Date","Price","Open","High","Low","Vol.","Change %"
"11/02/2025","55.12","55.11","55.17","54.99","252.96K","-0.43%"
"10/26/2025","55.36","56.69","56.99","55.10","1.23M","-3.08%"
"10/19/2025","57.12","57.47","57.68","56.94","1.16M","-1.14%"
"10/12/2025","57.78","55.94","57.84","55.78","2.14M","2.99%"
"10/05/2025","56.10","56.77","57.07","56.07","1.36M","-0.99%"
"09/28/2025","56.66","54.35","56.76","54.29","2.67M","4.42%"
"09/21/2025","54.26","55.44","55.62","53.70","2.05M","-1.81%"
"09/14/2025","55.26","55.60","55.76","55.02","1.29M","-0.70%"
"09/07/2025","55.65","56.21","56.35","55.53","1.80M","-1.07%"
"08/31/2025","56.25","54.48","56.45","54.45","1.44M","1.66%"
"08/24/2025","55.33","55.55","55.60","54.92","1.12M","-0.56%"
"08/17/2025","55.64","54.16","55.76","54.15","1.46M","2.09%"
"08/10/2025","54.50","53.32","54.50","53.12","1.03M","1.68%"
"08/03/2025","53.60","53.18","53.74","52.90","3.95M","2.23%"
"07/27/2025","52.43","54.58","54.61","51.83","5.13M","-4.95%"
"07/20/2025","55.16","54.69","56.20","54.41","2.31M","1.25%"
"07/13/2025","54.48","54.43","54.92","54.13","2.05M","-0.40%"
"07/06/2025","54.70","54.69","55.50","54.34","1.59M","-0.36%"
"06/29/2025","54.90","54.49","55.30","54.34","1.28M","0.49%"
"06/22/2025","54.63","52.72","54.78","52.69","2.10M","3.70%"
"06/15/2025","52.68","54.31","54.60","52.65","1.75M","-4.60%"
"06/08/2025","55.22","55.64","56.31","55.11","2.20M","-0.75%"
"06/01/2025","55.64","55.20","55.77","54.74","1.81M","0.83%"
"05/25/2025","55.18","55.44","55.44","54.51","3.64M","0.27%"
"05/18/2025","55.03","54.43","55.50","54.41","1.74M","1.14%"
"05/11/2025","54.41","53.01","54.41","52.83","2.01M","1.55%"
"05/04/2025","53.58","54.84","54.84","53.49","1.88M","-1.63%"
"04/27/2025","54.47","52.97","54.70","52.95","2.32M","2.70%"
"04/20/2025","53.04","52.38","53.04","51.49","2.52M","2.10%"
"04/13/2025","51.95","50.52","52.17","50.48","1.38M","1.76%"
"04/06/2025","51.05","46.72","51.17","46.22","5.87M","5.56%"
"03/30/2025","48.36","51.80","52.13","48.29","2.96M","-7.85%"
"03/23/2025","52.48","52.94","53.35","52.31","1.05M","-1.09%"
"03/16/2025","53.06","52.88","53.49","52.88","1.92M","0.89%"
"03/09/2025","52.59","53.10","53.28","51.61","3.70M","-1.76%"
"03/02/2025","53.53","52.35","53.61","52.08","3.44M","3.48%"
"02/23/2025","51.73","51.74","52.31","51.26","1.79M","0.21%"
"02/16/2025","51.62","51.29","51.71","50.67","1.15M","0.41%"
"02/09/2025","51.41","49.77","51.51","49.70","1.68M","3.67%"
"02/02/2025","49.59","48.94","50.31","48.88","1.74M","0.04%"
"01/26/2025","49.57","49.38","50.21","49.36","1.76M","1.52%"
"01/19/2025","48.83","47.83","48.92","47.79","1.23M","3.52%"
"01/12/2025","47.17","45.83","47.38","45.81","2.27M","1.64%"
"01/05/2025","46.41","46.34","47.08","46.23","1.93M","0.32%"
"12/29/2024","46.26","46.10","46.42","45.80","1.68M","-0.17%"
"12/22/2024","46.34","46.14","46.64","45.92","1.56M","0.91%"
"12/15/2024","45.92","46.98","47.48","45.56","3.06M","-2.67%"
"12/08/2024","47.18","48.26","48.35","47.05","2.12M","-2.22%"
"12/01/2024","48.25","47.99","48.44","47.64","1.39M","0.12%"
"11/24/2024","48.19","47.49","48.19","47.11","1.02M","1.92%"
"11/17/2024","47.28","47.11","47.45","46.84","1.41M","0.23%"
"11/10/2024","47.17","48.91","48.96","47.06","1.58M","-3.24%"
