"Date","Price","Open","High","Low","Vol.","Change %"
"06/29/2025","94.76","95.60","95.81","94.64","34.63M","-0.66%"
"06/22/2025","95.39","94.87","95.68","94.80","38.93M","0.84%"
"06/15/2025","94.60","94.18","94.84","94.00","25.79M","0.33%"
"06/08/2025","94.29","93.51","94.64","93.51","35.23M","0.83%"
"06/01/2025","93.51","94.00","94.66","93.47","48.36M","-1.12%"
"05/25/2025","94.57","93.97","94.62","93.79","39.38M","0.85%"
"05/18/2025","93.77","93.43","93.94","93.03","52.86M","-0.21%"
"05/11/2025","93.97","93.73","94.33","93.27","45.49M","-0.40%"
"05/04/2025","94.35","94.67","95.14","94.26","35.75M","-0.37%"
"04/27/2025","94.70","95.10","96.16","94.54","47.26M","-0.54%"
"04/20/2025","95.21","94.40","95.28","94.15","30.83M","0.56%"
"04/13/2025","94.68","93.92","95.08","93.79","36.03M","1.25%"
"04/06/2025","93.51","96.49","96.66","92.79","179.89M","-3.16%"
"03/30/2025","96.56","95.49","97.51","95.00","84.22M","1.55%"
"03/23/2025","95.09","94.75","95.15","94.21","31.24M","0.07%"
"03/16/2025","95.02","94.64","95.49","94.40","30.91M","0.57%"
"03/09/2025","94.48","94.94","95.31","94.20","37.01M","0.10%"
"03/02/2025","94.39","94.72","95.78","94.16","56.50M","-0.98%"
"02/23/2025","95.32","93.62","95.36","93.59","36.93M","1.72%"
"02/16/2025","93.71","93.03","93.83","92.76","22.79M","0.42%"
"02/09/2025","93.32","93.24","93.51","92.08","25.17M","0.19%"
"02/02/2025","93.14","92.99","93.73","92.60","31.45M","0.13%"
"01/26/2025","93.02","93.08","93.34","92.70","23.77M","0.59%"
"01/19/2025","92.47","92.75","92.82","92.13","17.42M","0.02%"
"01/12/2025","92.45","91.28","92.58","91.08","28.77M","1.23%"
"01/05/2025","91.33","92.24","92.33","91.23","24.03M","-1.10%"
"12/29/2024","92.35","92.53","92.82","92.31","18.55M","0.29%"
"12/22/2024","92.08","92.54","92.58","91.93","16.49M","-0.57%"
"12/15/2024","92.61","93.86","93.87","92.11","36.39M","-1.15%"
"12/08/2024","93.69","95.14","95.16","93.64","24.05M","-1.66%"
"12/01/2024","95.27","94.61","95.42","94.35","29.31M","0.08%"
"11/24/2024","95.19","94.46","95.20","94.22","23.53M","1.70%"
"11/17/2024","93.60","93.28","93.88","93.17","25.96M","0.30%"
"11/10/2024","93.32","93.92","93.96","92.90","42.98M","-0.93%"
"11/03/2024","94.20","94.32","94.47","93.01","59.57M","0.57%"
"10/27/2024","93.67","94.91","95.17","93.64","44.59M","-1.29%"
"10/20/2024","94.89","95.57","95.60","94.74","30.92M","-1.09%"
"10/13/2024","95.94","95.46","96.46","95.40","27.26M","0.08%"
"10/06/2024","95.86","96.11","96.27","95.53","34.25M","-0.63%"
"09/29/2024","96.47","98.32","98.47","96.42","48.76M","-1.95%"
"09/22/2024","98.39","98.22","98.50","97.83","38.76M","-0.03%"
"09/15/2024","98.42","98.99","99.18","98.18","46.41M","-0.47%"
"09/08/2024","98.88","98.30","99.15","98.18","34.98M","0.53%"
"09/01/2024","98.36","97.31","98.85","97.25","69.56M","1.33%"
"08/25/2024","97.07","97.96","97.97","97.04","26.65M","-0.74%"
"08/18/2024","97.79","97.04","98.01","97.02","25.00M","0.74%"
"08/11/2024","97.07","96.54","97.63","96.47","24.85M","0.42%"
"08/04/2024","96.66","98.39","98.58","96.07","47.06M","-1.04%"
"07/28/2024","97.68","95.25","97.75","95.08","50.35M","2.81%"
"07/21/2024","95.01","94.69","95.04","94.33","23.25M","0.45%"
"07/14/2024","94.58","94.71","95.21","94.53","27.49M","-0.39%"
"07/07/2024","94.95","94.13","94.98","93.83","26.34M","0.84%"
"06/30/2024","94.16","92.84","94.22","92.58","30.83M","0.54%"
"06/23/2024","93.65","94.37","94.55","93.64","24.24M","-0.74%"
"06/16/2024","94.35","94.14","94.68","94.03","20.80M","-0.26%"
"06/09/2024","94.60","92.78","94.69","92.66","29.09M","1.78%"
"06/02/2024","92.95","92.65","94.03","92.65","35.87M","0.16%"
"05/26/2024","92.80","92.96","92.98","91.72","28.77M","-0.09%"
"05/19/2024","92.88","92.98","93.29","92.62","20.79M","-0.25%"
"05/12/2024","93.11","92.74","93.64","92.60","27.46M","0.66%"
"05/05/2024","92.50","92.50","93.02","92.41","33.67M","0.04%"
"04/28/2024","92.46","91.70","92.70","91.19","41.92M","1.06%"
"04/21/2024","91.49","91.57","92.10","91.02","31.11M","-0.27%"
"04/14/2024","91.74","91.68","92.01","91.18","47.95M","-0.62%"
"04/07/2024","92.31","92.91","93.38","91.81","48.32M","-0.89%"
"03/31/2024","93.14","93.99","93.99","92.86","44.27M","-1.61%"
"03/24/2024","94.66","94.41","94.79","94.11","22.37M","0.17%"
"03/17/2024","94.50","93.62","94.56","93.45","35.37M","0.91%"
"03/10/2024","93.65","95.26","95.29","93.63","38.48M","-1.66%"
"03/03/2024","95.23","94.08","95.39","94.07","40.34M","0.88%"
"02/25/2024","94.40","94.05","94.46","93.62","43.03M","0.38%"
"02/18/2024","94.04","93.93","94.12","93.44","29.85M","0.32%"
"02/11/2024","93.74","94.57","94.68","93.52","41.92M","-0.79%"
"02/04/2024","94.49","94.90","95.35","94.40","46.40M","-1.12%"
"01/28/2024","95.56","95.25","97.11","95.15","77.17M","0.63%"
"01/21/2024","94.96","95.28","95.39","94.66","46.70M","0.02%"
"01/14/2024","94.94","95.84","95.96","94.54","45.64M","-1.34%"
"01/07/2024","96.23","95.39","96.48","95.36","42.39M","0.94%"
"12/31/2023","95.33","95.93","96.33","95.26","37.84M","-1.10%"
"12/24/2023","96.39","96.15","97.04","96.13","23.38M","0.21%"
"12/17/2023","96.19","95.81","96.70","95.63","44.24M","0.21%"
"12/10/2023","95.99","93.75","96.26","93.56","75.67M","2.17%"
"12/03/2023","93.95","93.68","94.86","93.45","83.43M","-0.10%"
"11/26/2023","94.04","92.55","94.09","92.49","82.02M","1.92%"
"11/19/2023","92.27","92.34","92.99","92.25","28.02M","-0.28%"
"11/12/2023","92.53","90.83","92.63","90.68","55.05M","1.48%"
"11/05/2023","91.18","91.29","92.07","91.00","63.30M","-0.49%"
"10/29/2023","91.63","89.64","92.24","89.48","82.23M","1.72%"
"10/22/2023","90.08","89.15","90.08","89.01","65.97M","0.69%"
