"Date","Price","Open","High","Low","Vol.","Change %"
"11/02/2025","628.27","630.42","630.44","625.16","5.57M","0.20%"
"10/26/2025","627.04","627.74","634.13","624.50","32.84M","0.72%"
"10/19/2025","622.55","613.51","623.79","609.83","26.81M","1.93%"
"10/12/2025","610.76","607.37","616.21","600.51","35.47M","1.71%"
"10/05/2025","600.51","617.46","619.60","600.23","38.12M","-2.40%"
"09/28/2025","615.30","610.79","618.42","608.27","36.54M","0.84%"
"09/21/2025","610.16","610.52","615.26","603.35","59.53M","-0.26%"
"09/14/2025","611.78","606.47","612.67","601.55","42.84M","1.21%"
"09/07/2025","604.44","596.31","605.98","595.01","56.20M","1.59%"
"08/31/2025","594.96","586.06","599.60","583.67","34.01M","0.32%"
"08/24/2025","593.08","592.05","597.07","589.79","30.00M","-0.02%"
"08/17/2025","593.21","590.98","594.32","581.85","30.36M","0.28%"
"08/10/2025","591.57","586.03","594.03","583.44","30.07M","1.00%"
"08/03/2025","585.74","575.17","586.17","575.08","24.77M","2.50%"
"07/27/2025","571.45","586.04","588.16","569.29","32.05M","-2.41%"
"07/20/2025","585.58","577.98","586.04","575.64","22.99M","1.50%"
"07/13/2025","576.92","572.85","578.50","568.17","27.04M","0.65%"
"07/06/2025","573.22","573.00","576.26","567.98","29.91M","-0.35%"
"06/29/2025","575.22","567.50","575.67","565.38","24.16M","1.46%"
"06/22/2025","566.95","548.66","568.33","545.75","45.20M","3.51%"
"06/15/2025","547.72","551.94","555.69","546.62","26.76M","-0.19%"
"06/08/2025","548.77","551.30","556.22","547.41","46.82M","-0.34%"
"06/01/2025","550.66","540.25","552.32","537.80","26.59M","1.64%"
"05/25/2025","541.76","538.72","545.28","536.16","21.87M","1.76%"
"05/18/2025","532.40","540.63","547.45","529.11","33.54M","-2.54%"
"05/11/2025","546.26","534.50","546.47","530.39","34.80M","5.32%"
"05/04/2025","518.65","517.08","524.23","511.10","24.78M","-0.40%"
"04/27/2025","520.71","506.81","522.41","497.76","30.68M","2.88%"
"04/20/2025","506.11","479.02","506.52","467.33","35.16M","4.59%"
"04/13/2025","483.90","500.05","500.26","478.23","27.92M","-1.36%"
"04/06/2025","490.55","449.54","502.06","442.80","107.77M","5.38%"
"03/30/2025","465.52","505.31","521.49","464.24","69.39M","-8.86%"
"03/23/2025","510.80","526.48","531.60","510.16","44.43M","-1.82%"
"03/16/2025","520.26","517.45","524.96","514.07","28.74M","0.54%"
"03/09/2025","517.46","521.90","523.70","505.42","60.04M","-2.28%"
"03/02/2025","529.51","548.20","549.29","520.13","38.53M","-3.08%"
"02/23/2025","546.33","553.61","554.51","535.58","27.29M","-0.98%"
"02/16/2025","551.75","561.80","563.92","551.27","18.30M","-1.59%"
"02/09/2025","560.69","555.44","561.86","550.39","16.62M","1.54%"
"02/02/2025","552.20","544.99","559.20","542.98","29.20M","-0.20%"
"01/26/2025","553.33","546.93","560.89","546.83","26.50M","-1.02%"
"01/19/2025","559.01","552.32","561.66","550.50","19.91M","1.74%"
"01/12/2025","549.46","529.40","551.12","529.02","29.94M","2.92%"
"01/05/2025","533.89","548.28","551.43","532.00","23.62M","-1.93%"
"12/29/2024","544.40","540.56","544.88","533.79","26.11M","-0.49%"
"12/22/2024","547.08","543.31","553.97","540.32","22.08M","0.37%"
"12/15/2024","545.04","557.13","558.80","535.85","79.72M","-1.90%"
"12/08/2024","555.61","558.71","559.39","553.57","20.75M","-0.57%"
"12/01/2024","558.82","554.36","559.96","553.79","23.29M","0.97%"
"11/24/2024","553.45","551.20","554.70","547.20","16.04M","1.09%"
"11/17/2024","547.47","538.92","548.05","536.90","25.54M","1.67%"
"11/10/2024","538.50","551.43","551.73","536.75","24.71M","-2.08%"
